director_id|first_name  |last_name       |relative_rating|
       2594|Evan        |Seplow          |     5.81900000|
        124|Keith       |Spiegel         |     5.81730000|
        222|John        |Woo             |     5.81720000|
       3203|Eoin        |Moore           |     5.81670000|
       2027|Roberto     |Petrocchi       |     5.81630000|
       4224|Timothy     |Bui             |     5.81310000|
       4111|Robert      |Rodriguez       |     5.81200000|
       2998|Kar-Wai     |Wong            |     5.81160000|
       3312|Jerry       |Schatzberg      |     5.81130000|
       4185|Gregory     |Storm           |     5.81000000|
        956|Sean        |McNamara        |     5.80610000|
       1373|Richard     |Hobert          |     5.80360000|
        176|Luís        |Rocha           |     5.79800000|
       2846|Alex        |Erkiletian      |     5.79630000|
       2405|Erik        |Bruyn           |     5.79380000|
       3492|Myra        |Paci            |     5.79370000|
       2500|Martin      |Koolhoven       |     5.79090000|
       4121|Christopher |Monger          |     5.78790000|
       1260|Nick        |Efteriades      |     5.78760000|
       1954|Albert      |Pyun            |     5.78700000|
       3799|Noam        |Gonick          |     5.78700000|
        557|Claudia     |Heuermann       |     5.78650000|
       2400|Christina   |Wayne           |     5.78570000|
       2914|François    |Ozon            |     5.78510000|
       2682|Raja        |Gosnell         |     5.78350000|
       3597|Stephen     |Carpenter       |     5.78020000|
       1026|Antonietta  |Lillo           |     5.78000000|
       2633|Carlos      |Gerbase         |     5.77980000|
       3953|Aziz        |Mirza           |     5.77950000|
       3850|Gabriela    |Tagliavini      |     5.77880000|
        774|Terry       |Zwigoff         |     5.77670000|
       3281|Jean-Pierre |Denis           |     5.77570000|
        337|Ron         |Clements        |     5.77550000|
       1720|Elia        |Zois            |     5.77550000|
       4008|Marcus      |Rogers          |     5.77420000|
       2983|Donald      |Petrie          |     5.77360000|
       2866|Gérard      |Blain           |     5.77140000|
       3472|Ami         |Mann            |     5.77140000|
       1090|William     |Gove            |     5.77010000|
       2094|Jacques     |Dorfmann        |     5.77000000|
       2214|Julian      |Kemp            |     5.76920000|
        232|Deborah     |Prete           |     5.76770000|
       3328|Robert      |Adetuyi         |     5.76670000|
       2342|Mike        |Anderson        |     5.76360000|
       2951|Jean-Pierre |Jeunet          |     5.76090000|
       2007|Stein       |Leikanger       |     5.76040000|
       1162|Rune        |Bendixen        |     5.75960000|
       3482|Brian       |Robbins         |     5.75885000|
        196|Julie       |Taymor          |     5.75820000|
        353|Bruce       |Paltrow         |     5.75760000|
       1041|Michael     |Almereyda       |     5.75760000|
       2607|Sally       |Potter          |     5.75760000|
       3421|Laurence    |Barbosa         |     5.75700000|
       3899|Shirley     |Barrett         |     5.75530000|
       2841|Julien      |Temple          |     5.75250000|
        966|Laura       |Belli           |     5.75240000|
        242|Bryan       |Singer          |     5.75000000|
        530|Stephen     |Wolfe           |     5.75000000|
       1939|Steve       |Carr            |     5.75000000|
        436|Andrew      |Bergman         |     5.74760000|
       3894|Alexander   |Jovy            |     5.74730000|
       3698|Matthew     |Tabak           |     5.74470000|
       2612|Ben         |Elton           |     5.74360000|
        562|John        |Forte           |     5.74120000|
       3454|Amy         |Heckerling      |     5.73830000|
       4287|Timothy     |Bond            |     5.73830000|
       2445|Bruno       |Almeida         |     5.73740000|
        700|Carl        |Kress           |     5.73640000|
       3865|Michael     |Walker          |     5.73470000|
       3434|Michael     |Radford         |     5.73270000|
       2908|Alexander   |Samaan          |     5.72830000|
       1626|Jez         |Butterworth     |     5.72630000|
       3153|Tony        |Vitale          |     5.72460000|
       4275|Ilan        |Cohen           |     5.72450000|
       2240|Eddy        |Terstall        |     5.72280000|
       1673|Joel        |Coen            |     5.72170000|
        660|Paul        |Rachman         |     5.72070000|
        990|Stefan      |Fjeldmark       |     5.72070000|
       1807|Lyman       |Dayton          |     5.72040000|
       1228|Stephen     |Lennhoff        |     5.72000000|
        625|Anthony     |Minghella       |     5.71880000|
        635|Christian   |Duguay          |     5.71580000|
       2806|Adam        |Shankman        |     5.71570000|
       1165|Marcell     |Jankovics       |     5.71560000|
        556|Peter       |Filardi         |     5.71430000|
       2264|Rodney      |McDonald        |     5.71400000|
       1526|Nick        |Gomez           |     5.71300000|
       3061|Lloyd       |Simandl         |     5.71280000|
       1065|Catrine     |Telle           |     5.71150000|
       1234|Brad        |Silberling      |     5.71110000|
        890|Patrick     |Gilmore         |     5.70830000|
       3886|Paul        |Lynch           |     5.70790000|
       2836|Joe         |Mantegna        |     5.70730000|
       1388|Jean-Luc    |Godard          |     5.70640000|
        931|Richard     |Greenberg       |     5.70590000|
       3998|Mimi        |Leder           |     5.70490000|
        280|Trace       |Slobotkin       |     5.70410000|
        237|Lasse       |Hallström       |     5.70100000|
       2325|Harley      |Cokeliss        |     5.69900000|
       1658|Courtney    |Solomon         |     5.69890000|
       4200|Mathieu     |Kassovitz       |     5.69810000|
        819|Dionysius   |Zervos          |     5.69620000|
        670|Aleksandr   |Zeldovich       |     5.69510000|
       1909|Dana        |Nechushtan      |     5.69370000|
        457|Manuel      |Bradford        |     5.69000000|
       2935|Lance       |Dreesen         |     5.68890000|
       2485|Kat         |Slater          |     5.68820000|
       3022|Giuseppe    |Ferrara         |     5.68640000|
       1684|Martin      |Campbell        |     5.68420000|
       3046|Darin       |Ferriola        |     5.68220000|
       1070|Neil        |Mandt           |     5.68100000|
        166|Roy         |Andersson       |     5.68070000|
       3583|Matt        |Brown           |     5.68030000|
        462|Peter       |Segal           |     5.67960000|
       2638|Gregor      |Schnitzler      |     5.67820000|
        615|Brian       |Levant          |     5.67710000|
       1636|Jean-Marie  |Poiré           |     5.67710000|
       1516|Roger       |Christian       |     5.67650000|
        535|Francis     |Delia           |     5.67570000|
       2130|Penny       |Marshall        |     5.67390000|
       3086|Stig        |Bergqvist       |     5.67350000|
         35|Raúl        |Ruiz            |     5.67320000|
       2898|Kevin       |Lima            |     5.67240000|
       3829|Dudi        |Appleton        |     5.67070000|
       3602|Ted         |Nicolaou        |     5.67030000|
       1136|Keenen      |Wayans          |     5.67000000|
        489|Ágnes       |Kocsis          |     5.66670000|
       1282|David       |Giancola        |     5.66670000|
       4078|Isaac       |Eaton           |     5.66670000|
        824|Danny       |Boyle           |     5.66380000|
       4190|Jan         |Svankmajer      |     5.66380000|
       1021|John        |Leekley         |     5.66360000|
       1813|Denys       |Arcand          |     5.66350000|
       1183|Clinton     |Smith           |     5.66320000|
       1727|Mark        |Malone          |     5.66320000|
       1003|Kevin       |Tenney          |     5.66100000|
        748|Robert      |Greenwald       |     5.65980000|
       1120|Joan        |Chen            |     5.65980000|
        920|Kelly       |Asbury          |     5.65960000|
       3647|Roger       |Spottiswoode    |     5.65775000|
       1591|Matthew     |Huffman         |     5.65740000|
       3008|Paul        |Marcus          |     5.65740000|
       3241|Ray         |Manzarek        |     5.65710000|
       1357|Gus         |Sant            |     5.65560000|
       4142|John        |Martin          |     5.65560000|
       2421|Steve       |Balderson       |     5.65290000|
       4061|Robert      |Favreau         |     5.65260000|
       2436|Del         |Shores          |     5.65090000|
        976|Lars        |Trier           |     5.65060000|
       1616|Carlos      |Avila           |     5.65000000|
       2032|John        |Duigan          |     5.64710000|
       3704|Reggie      |Bythewood       |     5.64600000|
        710|William     |Friedkin        |     5.64580000|
       3765|Kieron      |Walsh           |     5.64490000|
        290|Philippe    |Mora            |     5.64360000|
       2250|Alan        |Jacobs          |     5.64360000|
       3178|Gordon      |Chan            |     5.63920000|
        135|Adrian      |Fulle           |     5.63890000|
       2867|Ana         |Lisboa          |     5.63810000|
       2705|Guy         |Ritchie         |     5.63720000|
       3662|Tim         |Kirkman         |     5.63640000|
       4086|John        |Bailey          |     5.63620000|
       1511|Curtis      |Hanson          |     5.63460000|
        387|Adrian      |Pasdar          |     5.63300000|
       2602|Giovanni    |Robbiano        |     5.63270000|
       2956|Hannes      |Stöhr           |     5.63210000|
       1555|Don         |Roos            |     5.63040000|
        609|Måns        |Herngren        |     5.63000000|
       1229|Yoshihisa   |Shigeno         |     5.62500000|
       2535|Hans        |Canosa          |     5.62500000|
       2552|Robert      |King            |     5.62380000|
       4126|Ronny       |Yu              |     5.62380000|
       1777|David       |Stewart         |     5.62300000|
         84|Dianne      |Griffin         |     5.62110000|
       4166|John        |Carpenter       |     5.62110000|
       2331|Lori        |LoCicero        |     5.62100000|
       2275|Roberto     |Andò            |     5.61960000|
       2583|Martin      |Rodriguez       |     5.61960000|
       2373|Harald      |Zwart           |     5.61860000|
        343|Ron         |Cosentino       |     5.61820000|
       3523|Dirk        |Shafer          |     5.61680000|
       2305|Michael     |Lange           |     5.61610000|
       2120|Godfrey     |Ho              |     5.61540000|
       3563|James       |Slocum          |     5.61360000|
       3251|Massimo     |Martella        |     5.61320000|
        348|Wes         |Craven          |     5.61290000|
       2179|David       |McNally         |     5.61180000|
       1337|Joe         |Chan            |     5.61170000|
       1621|Matthew     |Rafferty        |     5.61110000|
       4291|Richard     |Trank           |     5.61110000|
       1342|Mike        |Nichols         |     5.61050000|
       4137|Penelope    |Buitenhuis      |     5.60950000|
        201|Albert      |Hughes          |     5.60820000|
       2310|Baz         |Luhrmann        |     5.60780000|
       1466|Oz          |Scott           |     5.60750000|
       4127|Orlando     |Oliveira        |     5.60610000|
        540|Philip      |Haas            |     5.60550000|
        300|Andrew      |Adamson         |     5.60490000|
        640|Jim         |Gillespie       |     5.60440000|
       2336|Jonathan    |Glazer          |     5.60440000|
       1992|Jenö        |Hodi            |     5.60420000|
         46|Sanjay      |Rawal           |     5.60230000|
       4181|Jessica     |Hausner         |     5.60190000|
       2747|Eugene      |Martin          |     5.60180000|
       3794|Rick        |Rosenthal       |     5.60000000|
       2426|Michael     |Addis           |     5.59770000|
       2851|Maggie      |Greenwald       |     5.59650000|
       2204|Richard     |Benjamin        |     5.59460000|
       3208|Gregory     |Haynes          |     5.59460000|
       3291|Melvin      |Peebles         |     5.59290000|
       1787|Predrag     |Velinovic       |     5.59170000|
       3978|David       |Lipszyc         |     5.58880000|
        865|John        |Walsh           |     5.58510000|
       1506|Dereck      |Joubert         |     5.58510000|
       4101|Yossi       |Wein            |     5.58490000|
        602|Chandrakant |Chandrakant     |     5.58250000|
       1536|Linda       |Yellen          |     5.58250000|
        252|Don         |Bluth           |     5.58240000|
       2801|Tamra       |Davis           |     5.58240000|
       1378|Jonathan    |Mostow          |     5.58155000|
       1818|Jimmy       |Bridges         |     5.58060000|
        151|Bruno       |Nuytten         |     5.57890000|
        795|Mariano     |Barroso         |     5.57890000|
       3107|Paul        |Tickell         |     5.57890000|
       3804|Juan        |Fresnadillo     |     5.57890000|
        650|Buddy       |Giovinazzo      |     5.57840000|
       4083|Carlos      |Orgambide       |     5.57840000|
       1174|Dale        |Bradley         |     5.57750000|
       1151|Fernando    |Lopes           |     5.57720000|
       1481|Per         |Åhlin           |     5.57720000|
        378|Doug        |TenNapel        |     5.57690000|
       3041|Bruce       |Beresford       |     5.57580000|
       1491|John        |Frankenheimer   |     5.57450000|
       1545|Francine    |McDougall       |     5.57290000|
       3928|Fred        |Ray             |     5.57215000|
       1851|Ed          |Lochman         |     5.56820000|
        655|Matt        |Gavin           |     5.56700000|
       3342|Dominik     |Moll            |     5.56700000|
        754|Trine       |Christensen     |     5.56440000|
       2357|Joel        |Hershman        |     5.56380000|
       1146|Geoffrey    |Wright          |     5.56120000|
        426|Antoine     |Fuqua           |     5.56070000|
        829|Chuck       |Russell         |     5.56030000|
       3003|Steven      |Spielberg       |     5.55950000|
       2888|Boaz        |Yakin           |     5.55810000|
       3347|Fabien      |Onteniente      |     5.55670000|
       1867|Kevin       |Mock            |     5.55560000|
       2475|Robert      |Altman          |     5.55450000|
        551|Ray         |Davies          |     5.55360000|
       3158|Michael     |Davis           |     5.55340000|
       1130|Mark        |Bosko           |     5.54900000|
       1631|Gavin       |Millar          |     5.54900000|
        156|Chris       |LaMont          |     5.54810000|
       3361|Sidney      |Furie           |     5.54780000|
       2062|Pete        |Docter          |     5.54640000|
       2919|James       |Isaac           |     5.54460000|
       3214|Pedro       |Carvajal        |     5.54350000|
       1772|Daniel      |Bernstein       |     5.54290000|
       1714|Mark        |Wilkinson       |     5.54050000|
       2341|Kenneth     |Lonergan        |     5.54050000|
       2199|Tom         |Rice            |     5.54000000|
       3904|Éva         |Gárdos          |     5.53850000|
       3678|Miguel      |Courtois        |     5.53760000|
         16|Orson       |Welles          |     5.53700000|
        785|Alan        |Rudolph         |     5.53260000|
       3272|Aleksi      |Vellis          |     5.53260000|
       1643|Casey       |Kriley          |     5.53210000|
        738|Sam         |Weisman         |     5.53100000|
       3168|Michael     |Sarna           |     5.53060000|
       1213|Seth        |Rosenfeld       |     5.52830000|
       3533|William     |Marsh           |     5.52830000|
       3612|Peter       |Howitt          |     5.52680000|
        363|Tom         |Shell           |     5.52590000|
       2515|Rob         |Sitch           |     5.52580000|
       1914|Steven      |Soderbergh      |     5.52270000|
       1570|Pankaj      |Parashar        |     5.52130000|
       1050|Neil        |LaBute          |     5.52000000|
        759|Caroline    |Link            |     5.51920000|
        528|Giuseppe    |Bertolucci      |     5.51490000|
       1271|Steven      |Sandt           |     5.51350000|
       3714|Patrick     |Lussier         |     5.50880000|
       2663|Hector      |Barron          |     5.50860000|
       2450|Ulf         |Malmros         |     5.50560000|
       3755|Mike        |Figgis          |     5.50560000|
       3027|Thomas      |Bezucha         |     5.50490000|
        665|Paul        |Nicholas        |     5.50000000|
       2352|Craig       |Singer          |     5.50000000|
       2557|Thomas      |Carter          |     5.50000000|
       3033|Zhenya      |Welyczko        |     5.49590000|
       1896|Raphael     |Fejtö           |     5.49540000|
        844|Phil        |Robinson        |     5.49530000|
       1476|Randall     |Fontana         |     5.49500000|
        926|David       |Lynch           |     5.49490000|
       2735|Juan        |Buscarini       |     5.49450000|
       2002|Rob         |Schmidt         |     5.49190000|
       1240|Hank        |Rogerson        |     5.49070000|
       1903|Cary        |Howe            |     5.48750000|
        105|George      |Bazala          |     5.48600000|
       4066|Jed         |Mortenson       |     5.48510000|
       2643|Nancy       |Meyers          |     5.48480000|
       3406|Marcus      |Spiegel         |     5.48480000|
       2089|Gerard      |Stembridge      |     5.48280000|
       2505|Tim         |Disney          |     5.48150000|
       2826|Karyn       |Kusama          |     5.48150000|
       3658|Ashby       |Richardson      |     5.48110000|
       1694|Randy       |Bradshaw        |     5.47960000|
       2229|Julia       |III             |     5.47830000|
       3652|Richard     |Shepard         |     5.47790000|
       2696|Terry       |Cunningham      |     5.47780000|
        814|Jon         |Dichter         |     5.47750000|
       4046|Paul        |Matthews        |     5.47615000|
        550|Brad        |Mays            |     5.47560000|
       2140|Tinto       |Brass           |     5.47560000|
        581|Ron         |Krauss          |     5.47250000|
       3518|Jim         |Wynorski        |     5.47170000|
       2383|Sam         |Firstenberg     |     5.47060000|
        896|John        |Mackenzie       |     5.46940000|
       3462|Vincent     |Giarrusso       |     5.46940000|
       3993|Rolf        |Heer            |     5.46850000|
       2924|Brian       |Koppelman       |     5.46730000|
       1436|Bobby       |Farrelly        |     5.46645000|
       3617|John        |Stewart         |     5.46610000|
         41|Yuriy       |Kara            |     5.46600000|
        295|Brett       |Mayer           |     5.46550000|
        571|Jay         |Russell         |     5.46430000|
       2861|Kathryn     |Bigelow         |     5.46430000|
       3679|Billy       |Thornton        |     5.46320000|
       3909|Peter       |Sheridan        |     5.46240000|
       1239|Geoff       |Murphy          |     5.46000000|
        191|Henry       |Burrows         |     5.45920000|
        860|William     |Greenblatt      |     5.45570000|
       2966|Kaspar      |Rostrup         |     5.45540000|
       2622|Charles     |Harris          |     5.45450000|
       3517|Damian      |Lee             |     5.45370000|
       3138|Lucio       |Gaudino         |     5.45160000|
       1393|John        |Hancock         |     5.45100000|
       1704|Jonathan    |Lynn            |     5.44975000|
        473|Douglas     |Aarniokoski     |     5.44860000|
       3632|Brett       |Ratner          |     5.44760000|
       2893|Gabriel     |Pelletier       |     5.44570000|
        998|Ashutosh    |Gowariker       |     5.44550000|
        227|Paul        |Anderson        |     5.44440000|
       2540|William     |Bindley         |     5.44350000|
       2781|Christopher |Nolan           |     5.44330000|
       4264|P.          |Ebersole        |     5.44140000|
       2677|Christopher |Munch           |     5.44090000|
       2047|Robert      |Carroll         |     5.44000000|
       1653|Ang         |Lee             |     5.43960000|
       2720|Manuel      |Pradal          |     5.43880000|
       3880|Christopher |Coppola         |     5.43810000|
        441|Peter       |Chelsom         |     5.43800000|
        275|George      |Lucas           |     5.43685000|
       1762|Jeff        |Probst          |     5.43400000|
        285|Bonnie      |Hunt            |     5.43240000|
       2752|Kristian    |Levring         |     5.43160000|
       3543|Barry       |Levinson        |     5.43160000|
       2079|Mimmo       |Calopresti      |     5.43140000|
        456|Mary        |Harron          |     5.43010000|
       1104|John        |Waters          |     5.42990000|
       1767|Tommy       |O'Haver         |     5.42990000|
        849|Mitch       |Marcus          |     5.42860000|
       1521|Steven      |Brill           |     5.42860000|
       4161|Lawrence    |Foldes          |     5.42860000|
       4051|Philip      |Botti           |     5.42550000|
       3381|Darnell     |Martin          |     5.42450000|
       3449|Kate        |Woods           |     5.42450000|
       4096|Shashilal   |Nair            |     5.42310000|
       1576|Alex        |Munoz           |     5.42270000|
       4091|Ethan       |Hawke           |     5.42270000|
       1417|Arnaud      |Desplechin      |     5.42220000|
       1671|Tim         |Nelson          |     5.42110000|
       2330|Vladimír    |Drha            |     5.42110000|
       2811|Tarsem      |Singh           |     5.42110000|
       2568|Fina        |Torres          |     5.42060000|
         51|Michael     |Ritchie         |     5.42050000|
       1679|Roland      |Joffé           |     5.41960000|
       3183|Todd        |Phillips        |     5.41850000|
       2972|Christian   |Otjen           |     5.41820000|
        499|Robert      |Redford         |     5.41800000|
       1834|Matt        |Bissonnette     |     5.41670000|
       2490|Britt       |Allcroft        |     5.41590000|
       3968|Juan        |Pinzás          |     5.41580000|
        161|David       |Mamet           |     5.41510000|
       3128|Olaf        |Ittenbach       |     5.41300000|
       3834|Sylvie      |Verheyde        |     5.41240000|
        265|Susan       |Carney          |     5.41120000|
        306|Keith       |Gordon          |     5.41120000|
         83|Crispin     |Glover          |     5.41110000|
       4249|Michael     |Martin          |     5.41050000|
        743|John        |Marino          |     5.41000000|
       3108|Arnon       |Goldfinger      |     5.40950000|
        484|Simon       |West            |     5.40910000|
       1398|Ben         |Younger         |     5.40820000|
       3958|Robert      |Lepage          |     5.40820000|
       2978|Jay         |Roach           |     5.40740000|
       4106|Marcelo     |Piñeyro         |     5.40590000|
       3262|Kamshad     |Kooshan         |     5.40380000|
       3558|James       |Boekbinder      |     5.40340000|
       1115|Rachid      |Benhadj         |     5.40210000|
        880|Bob         |Gale            |     5.40190000|
        185|Peter       |Lord            |     5.40000000|
        809|Karl        |Zwicky          |     5.40000000|
       2578|Alfonso     |Cuarón          |     5.40000000|
       4036|Daniel      |Calparsoro      |     5.39810000|
       4132|Paul        |Ziller          |     5.39600000|
       1601|Guillermo   |Toro            |     5.39290000|
       2480|Mark        |Feinsod         |     5.38740000|
       4195|Taylor      |Hackford        |     5.38640000|
       3366|James       |Muir            |     5.38600000|
        769|Robert      |Zemeckis        |     5.38565000|
       2290|Raymond     |Felitta         |     5.38380000|
        591|Allan       |Goldstein       |     5.38320000|
       2174|Miguel      |Arteta          |     5.38320000|
        415|Barry       |Berman          |     5.38200000|
       2764|Edo         |Bertoglio       |     5.38180000|
       2411|Mira        |Erdevicki       |     5.38140000|
       3962|Sabine      |Derflinger      |     5.38140000|
       1611|Sara        |Sugarman        |     5.37960000|
       4244|Bob         |Giraldi         |     5.37960000|
       2821|John        |Fawcett         |     5.37760000|
       3844|Joel        |Gordon          |     5.37760000|
       3573|Jean        |Stewart         |     5.37720000|
       1501|Chris       |Koch            |     5.37650000|
       3221|Lisa        |Kors            |     5.37650000|
       2441|Claire      |Denis           |     5.37620000|
       4153|Marc        |Forster         |     5.37620000|
       3914|Anthony     |Hickox          |     5.37580000|
       1861|Pontus      |Löwenhielm      |     5.37500000|
       2155|Dan         |Cohen           |     5.37500000|
       1332|Bruno       |Barreto         |     5.37380000|
        724|William     |Sachs           |     5.37290000|
       2022|Mark        |Gibson          |     5.37270000|
        311|Marcos      |Miranda         |     5.37170000|
       2930|Marleen     |Gorris          |     5.37070000|
       3814|Anders      |Nilsson         |     5.37000000|
       3101|Anne        |Salvo           |     5.36940000|
        695|Tag         |Purvis          |     5.36790000|
       2320|Glen        |Trotiner        |     5.36750000|
       2648|Mark        |Lamprell        |     5.36750000|
       3386|Benoît      |Jacquot         |     5.36730000|
        368|Don         |FauntLeRoy      |     5.36700000|
       4269|Gary        |Trousdale       |     5.36670000|
       3779|Tony        |Pemberton       |     5.36360000|
       1265|Tripp       |Reed            |     5.36270000|
       2816|Paul        |McGuigan        |     5.36270000|
       2791|Ljubisa     |Samardzic       |     5.36260000|
       1797|Rob         |Cohen           |     5.36140000|
       2017|John        |Roecker         |     5.36110000|
       2295|Christopher |McQuarrie       |     5.36000000|
       1987|Jean        |Pellerin        |     5.35710000|
       2495|Jonathan    |West            |     5.35710000|
       2903|Carlo       |Gustaff         |     5.35710000|
          5|James       |Mangold         |     5.35640000|
       3860|Ted         |Demme           |     5.35560000|
       3066|Nick        |Castle          |     5.35450000|
        716|Christopher |Johnson         |     5.35420000|
       1452|Joel        |Schumacher      |     5.35375000|
       1321|Matthew     |Miele           |     5.35240000|
       3637|Leonardo    |Henríquez       |     5.35240000|
       3502|Nick        |Love            |     5.35230000|
       3401|Manuel      |Poirier         |     5.35040000|
        119|R.D.        |Robb            |     5.35000000|
        764|Jay         |Woelfel         |     5.34950000|
       2160|Roger       |Donaldson       |     5.34950000|
       3497|Imogen      |Kimmel          |     5.34830000|
       4156|Cristina    |Andrade         |     5.34820000|
         72|Rakesh      |Roshan          |     5.34810000|
       1742|Betty       |Thomas          |     5.34780000|
       3538|Sheri       |Elwood          |     5.34780000|
        630|Caesar      |Cavaricci       |     5.34580000|
       3549|Jack        |Rubio           |     5.34310000|
        905|Henry       |Selick          |     5.34230000|
       3143|Vivi        |Letsou          |     5.34170000|
       1856|Jean        |Velde           |     5.34070000|
       3688|Gary        |Burns           |     5.34070000|
       1709|Fernando    |Vendrell        |     5.34020000|
       2224|Burt        |Reynolds        |     5.33940000|
       1403|Kasi        |Lemmons         |     5.33710000|
        474|Godfrey     |Reggio          |     5.33680000|
       1427|John        |Putch           |     5.33650000|
       2941|Tony        |Gatlif          |     5.33330000|
       3231|Oliver      |Schmitz         |     5.33330000|
       3622|Christopher |Guest           |     5.33330000|
        855|Lee         |Tamahori        |     5.32740000|
       3477|Luis        |Oliveros        |     5.32500000|
        420|James       |Gray            |     5.32320000|
       1699|Zoe         |Clarke-Williams |     5.32290000|
       2775|Larry       |Clark           |     5.32260000|
        373|Jim         |O'Malley        |     5.32140000|
